㐁犁,伸犁
烏山雞仔,黑長尾雉
烏心肝,壞心腸的人
烏忒,熄滅
烏斑,雀斑
烏暗,黑暗
烏暗天,陰天
烏板樹,黑板樹
烏枕唊啜鳥,北椋鳥
烏枕燕海鵝,蒼燕鷗
烏枕王鳥,黑枕藍鶲
烏枝葉,黑衍生之事
烏柢,臺灣烏心石
烏柢仔,臺灣烏心石
烏棗,黑棗
烏檀,臺灣烏心石
烏毋三，白毋四,烏不三，白不四
烏水溝,黑水溝
烏湢湢鳥,煤山雀
烏溚溚,黑搭搭
烏溚溚,黑漆漆
烏灰飛食鳥,鮮卑鶲
烏烏,烏漆墨黑
烏烏,黑黑
烏烏,黑黑的
烏烙,暗沉
烏煙,黑煙
烏燕海鵝,烏領燕鷗
烏狗,黑狗
烏狗仔,黑狗
烏狗病,黑狗病
烏狗精,黑狗精
烏狗血,黑狗血
烏狗食啉，白狗當災,烏狗吃食，白狗當災
烏王,黑王
烏疏滴溚,烏漆抹黑
烏疏疏,很黑
烏疏疏,烏漆麻黑
烏疏疏,髒兮兮
烏疏疏,黑漆漆
烏疏疏仔,烏漆麻黑
烏疏疏仔,黑呼呼的
烏疏疏仔,黑漆漆的
烏白,亂來
烏白,胡來
烏白,黑白
烏眉坑莊頭,烏眉坑庄頭
烏眉細畫眉,頭烏線
烏石頭,黑石頭
烏竳鳥,黑鶇
烏糖,紅糖
烏糖,黑糖
烏糯米,黑糯米
烏翼唊啜鳥,黑翅椋鳥
烏翼山椒鳥,黑翅山椒鳥
烏肉,黝黑
烏肚濫泥鳥,濱鷸
烏腳千腳鳥,東方環頸鴴
烏腳船鳥,黑腳信天翁
烏膣癩乾,烏黑乾癟
烏色,黑色
烏葉仔,烏葉竹
烏蟻仔,黑色大型螞蟻
烏蟻公,黑螞蟻
烏蠅,蒼蠅
烏蠅,蠅
烏蠅屎,雀斑
烏蠅屎面,雀斑臉
烏蠅拑烏蠅啄,蠅飛蛆附
烏蠅搭仔,蒼蠅拍
烏衫,黑衣
烏豆,黑豆
烏豆仔,黑豆
烏豆酒,黑豆酒
烏送子鳥,黑鸛
烏都仔,龍葵
烏都子,龍葵
烏野鵝,黑雁
烏金,烏黑發亮
烏金,黑得發亮
烏金烏金,黑得發亮
烏金金仔,黑黝黝的
烏鈕仔,龍葵
烏鈕草,龍葵
烏陰,陰
烏陰,陰暗
烏陰,陰陰的
烏陰天,陰天
烏雲母,黑雲母
烏青,瘀青
烏青,黑青
烏青紫嘔,瘀青發黑
烏面,黑面
烏面琵鷺,黑面琵鷺
烏面白尾鳥,黑臉鵐
烏面飯匙鵝,黑面琵鷺
烏面鶴,黑面琵鷺
烏頦ㄊ行鳥,黑喉潛鳥
烏頦青鵓鴣仔,小綠鳩
烏頦,黑喉鴝
烏頭毫,烏頭翁
烏頭沒淬鳥,黑頭翡翠
烏頭烏啜鷝,黑頭文鳥
烏頭白尾鳥,灰頭黑臉鵐
烏頭白,黑頭白
烏頸唊啜鳥,黑領椋鳥
烏頸湖鴨,黑頸鸊鷉
烏鬚燕海鵝,黑腹燕鷗
烏鬼,鸕鷀
烏鮪魚,黑鮪魚
烏鳳頭麻鶴仔,黑冠麻鷺
烏鴉仔,烏鴉
烏鴉胗,血藤
烏鷯,八哥
烏鷯仔,八哥
烏黴菌,黑黴菌
烏領沙燕仔,灰沙燕
烏林鴿,烏鳩
烏𪐞子,烏仔菜
烏𪐞子,烏子茄
烏𪐞子,苦葵
烏𪐞子,龍葵
烏𪐞紅,暗紅色
烏𪐞紅,深紅色
烏𪐞血,瘀血
烏𪐞𪐞,陰雨天氣
烘爐,風爐
烰,油炸
烰菜,油炸的菜餚
烰菜,油炸菜餚
烰雞肉,暑假
烰雞肉,炸雞
烳仔,鍋子
烳烳,煮煮
烳茶,煮茶
烳茶,煮開水
烳茶,燒開水沏茶
烳藥仔,煎藥
烳鏍,鍋子
焓燒,燙熱
焗,蒸餾
焗油,煉油
焗酒,蒸餾酒
焗酒,釀酒
焙,烘烤
焙,烘焙
焙火,烤火
焙熟,烤熟
焙茶,烘乾茶葉
焙衫機,烘衣機
焙衫褲,烘乾衣服
焚香,燒香
無,嗎
無,沒
無,沒有
無一定,不一定
無一毋備,無一不備
無一毋精,無一不精
無下落,不了了之
無下落,不可靠
無下落,漫不經心
無中,沒中
無主無意,沒主張
無主無意,沒主見
無乖,不乖
無了日,沒完沒了
無了解,不明白
無了解,沒有懂
無事,沒事
無事毋登三寶殿,無事不登三寶殿
無人,沒人
無人做,沒人做
無人在,沒人在
無人愛,沒人要
無人應話,沒有人頂嘴
無人承受,沒教養
無人知,沒人知
無人知,沒人知道
無人識,沒人認識
無人識,沒有人認識
無份,沒份
無企無坐,沒企沒坐
無伴,沒伴
無伴,沒有伴
無伴,沒有同伴
無位,沒位
無位,無處
無佗,沒在
無來,沒來
無來往,沒來往
無來往,沒有交道
無來往,絕交
無例外,不例外
無依無偎,無依無靠
無信毋立,無信不立
無借無問,沒有打招呼
無偎無凴,無依無靠
無停,沒停
無停動,不動
無停動,靜止
無像,不像
無像人,不像人樣
無像人,不像話
無價值,沒意義
無價值,無意義
無全,沒全
無共樣,不一
無共樣,不一樣
無共樣,不同
無出來,沒出來
無分差,分毫不差
無分黨派,沒有分黨派
無到,不到
無剁,沒剁
無割,沒割
無功毋受祿,無功不受祿
無半,沒半
無半屑,一點都不剩
無半屑,什麼都沒有
無半息,一無所有
無半息,什麼都沒有
無半樣,一無所知
無半樣,一無是處
無半樣,無能
無半項,一無所知
無半項,一無是處
無半項,無能
無半點,一點都沒有
無厥,無他
無去,沒去
無受教,不受教
無可毋可,無可不可
無可無毋可,無可無不可
無可能,不可能
無名細卒,無名小卒
無味無腥,沒什麼味道
無味緒,沒味道
無味緒,沒趣
無命,沒命
無命,糟糕
無命好食番薯湯,連命都會沒有
無哪,無處
無哪尋,無處尋
無問題,沒問題
無問題,沒有問題
無噭,沒哭
無在,不在
無在,死亡
無在了,不在了
無在了,去世了
無在撇,不在了
無在撇,去世了
無在撇,逝世了
無堅毋摧,無堅不摧
無堵好,不小心
無堵好,不巧
無堵好,真不巧
無墩,沒墩
無大無細,不懂規矩
無大無細,沒大沒小
無大無細,目無尊長
無天理,沒天理
無奇毋有,無奇不有
無奈何,不得不
無奈何,不得已
無奈何,無可奈何
無奈何,無奈的
無奈𠊎何,無奈我何
無好,不好
無好,不愛
無好睡,不好睡
無好睡,不愛睡
無好買,不愛買
無好買,沒得買
無好食,不好吃
無好食,沒有好吃的
無妥當,不妥
無妥當,不妥當
無妹古,沒妹故事
無婆無卵,單身漢
無婆無卵,無妻無子
無嫁人,沒嫁人
無嫌,不嫌
無嫌,不嫌棄
無嫌棄,不嫌棄
無字,沒字
無安無樂,心神不寧
無完全變態,不完全變態
無定,不一定
無定,也許
無定,說不定
無定無著,無法拿定主意
無定無著,猶豫不決
無定無著,舉棋不定
無定著,不一定
無定著,搞不好
無定著,說不定
無家無竇,沒住所
無家無竇,沒家眷
無家無竇,沒有任何的家眷
無家無竇,無家可住
無密,沒緊密
無就,不然就
無就,不然的話
無屎另出腸,打腫臉充胖子
無屎另出腸,死要面子
無巧毋成書,無巧不成書
無巧毋成話,無巧不成話
無差,不差
無差,沒差
無差,沒差別
無差,沒有差別
無差,沒錯
無已當樑,沒已承當
無帶,沒攜帶
無帶著,沒有帶到
無干係,沒關係
無平,不平
無平,不平坦
無平安,不平安
無幽毋燭,無幽不燭
無幾,沒幾
無幾久,不久
無幾久,沒多久
無幾久仔,沒多久
無幾多,不多
無幾多,沒多少
無幾遠,不遠
無幾遠,沒多遠
無幾長,不長
無幾長,沒多長
無底坑,無底洞
無底景,跑旱船
無廊無底,沒廊沒底
無引擎,沒引擎
無影,不實
無影,不真實
無影,假的
無影,沒有
無影,沒這回事
無影無跡,不實謊言
無影無跡,無中生有
無影無跡,無影無蹤
無影無跡,無憑無據
無往毋利,無往不利
無得,沒得
無得結煞,沒辦法
無徵毋信,無徵不信
無心肝,善忘
無忒,沒了
無忒,消失
無忒去,不在了
無忒去,去世了
無忒去,沒了
無忒去,逝世了
無怕,沒怕
無恁,沒這麼
無恁,沒那麼
無恁該,沒這麼容易
無恁該,沒那麼容易
無惜,沒疼愛
無惡毋作,無惡不作
無想,沒想
無想著,沒想到
無想過,沒想過
無愁,不愁
無意中,沒意中
無意思,不夠意思
無意思,沒意思
無愛,不要
無愛再過,不再
無愛同你講,不告訴你
無應該,不應該
無應該,不該
無成,難道
無成係,難道是
無所毋作,無所不作
無所毋包,無所不包
無所毋及,無所不及
無所毋在,無所不在
無所毋容,無所不容
無所毋曉,無所不曉
無所毋有,無所不有
無所毋為,無所不為
無所毋用其極,無所不用其極
無所毋知,無所不知
無所毋能,無所不能
無所毋至,無所不至
無所毋通,無所不通
無扇葉電扇,無扇葉電風扇
無才調,沒本事
無才調,沒能力
無打,沒打
無打緊,不打緊
無招,沒招
無採,枉費
無採,白費
無採,空費
無採工,白費力氣
無採工,白費功夫
無插,沒插
無插,沒理
無插,沒理會
無搭無碓,沒有意思
無搭無碓,沒有效果
無搭無碓,沒趣味
無搭無碓,無意義
無搭碓,沒意思
無搭碓,沒有意思
無搭碓,起不了作用
無撇,死亡
無撇,死掉
無撇,消失
無撇去,不在了
無撇去,去世了
無撇去,沒了
無撇去,逝世了
無擐著,沒拿到
無收,沒收
無放,不放
無效,沒效
無效,沒用
無救,沒救
無敢,莫非
無敢,難道
無斯,不然
無新無舊,不新不舊
無日無夜,不分晝夜
無時恬,不停
無時恬,不耐久候
無時無節,時機不對
無時閒,沒有空閒時間
無晝無暗,夜以繼日
無曉得,不懂得
無會,不然會
無核卵,沒勇氣
無核卵,沒睪丸
無根無據,憑空杜撰
無根無據,無憑無據
無根無據,空口無憑
無棄嫌,不嫌棄
無樹,沒樹
無欲就剛,無欲則剛
無款無僭,不成體統
無歡喜,不高興
無正常,不正常
無歸,沒回來
無歸,沒回家
無歸,沒有回家
無歸,無回
無死,不死
無死,沒死
無毋,無不
無毋知,沒有不知道
無毋著,沒有錯
無毋著,沒錯
無毒毋丈夫,無毒不丈夫
無比,沒有比
無比止,沒什麼可比
無比止,沒什麼可比的
無比止,無可比
無氣無脈,沒有精神
無氣無脈,無精打采
無油水,沒有利益
無油水,沒油水
無油無臘,沒有油
無法,沒有辦法
無法就,沒法就
無法度,沒法子
無法度,沒能
無法度,沒辦法
無法度,無法
無法度取代,無可取代
無法度𢯭手,無法幫忙
無注意,疏忽
無注意著,忽略
無消息,沒消息
無消無息,音訊全無
無準,沒準
無滾,沒滾
無漦無濞,什麼也沒有
無爭,沒差
無爺無哀,無父無母
無牙根,沒魄力
無牙無碓,沒牙沒轓車
無王無法,無法無天
無用,沒有用
無用,沒用
無用,無能
無畀,沒給他
無留,沒留
無留存,沒留存
無當,不太
無當,沒有很
無盡,不太
無盡了解,不太了解
無目,沒眼
無目水,沒眼光
無相同,不一樣
無相同,不相同
無相干,不相關
無相干,不要緊
無相干,沒關係
無相干,無妨
無相干,無關
無看,沒看
無看著,沒看到
無福氣,沒有福氣
無福氣,沒福
無空無錑,空穴來風
無算,不算
無算,沒算
無管,不管
無管,沒管
無簡單,不簡單
無米煮,斷炊
無米煮,沒米可煮
無細義,不小心
無結子,不結果實
無結無煞,不知如何是好
無結無煞,實在沒辦法
無結無煞,無可奈何
無結煞,無可奈何
無結煞,要命
無經一擺寒入骨，哪得梅花衝鼻香。,不經一番寒徹骨，哪得梅花撲鼻香。
無經過,未經
無綿,沒爛
無線電,無線電波
無緪無落,漫不經心
無罅,不夠
無罅,不足
無老,沒大
無聲無氣,不吭不響
無聲無氣,不吭氣
無聽,沒聽
無聽著,沒聽到
無聽話,不聽話
無聽話,沒聽話
無聽過,沒聽過
無胃口,食慾不振
無腳,沒腳
無膽,膽小
無花,沒花
無落水,沒下雨
無落無著,沒著落
無著,沒穿
無藥,沒藥
無處毋在,無處不在
無行,沒走
無行上,沒有走上
無袖仔,無袖衫
無要無緊,無所謂
無要緊,不要緊
無要緊,沒關係
無見奇,不怎麼好
無見面,沒見面
無規矩,沒規矩
無親無戚,沒有親人
無言毋讎，無德毋報,無言不讎，無德不報
無討,沒娶
無討,沒討
無話,沒話
無話可講,無話可說
無話好講,沒話好說
無話毋談,無話不談
無話講,沒話說
無論,不論
無謊毋成媒,無謊不成媒
無謊毋成狀,無謊不成狀
無講,不說
無講,並非
無講,實在不是
無講,沒有說
無講,沒說
無講話,沒說話
無識,不懂
無識,不曾
無識,不認得
無變,未變
無變,沒變
無賣忒,沒賣完
無贏無輸,平手
無走種,血統純正
無赴著,錯過
無赴著,錯過了
無跌忒,沒掉
無跡,沒有痕跡
無路,沒路
無路用,無能
無蹤無影,無影無蹤
無輸無贏,沒輸沒贏
無輸無贏,沒輸贏
無轉,沒回來
無轉,沒回家
無轉,沒有回家
無轉,沒轉動
無轉屋,沒回家
無辦,沒辦
無辦法,沒辦法
無連事故,無緣無故
無運行,沒運走
無運行个,不運走的
無過好,沒過愛
無道,沒意思
無道,沒道理
無道,無聊
無道理,沒道理
無針毋引線,無針不引線
無錢,沒錢
無錢使,沒錢用
無長,沒剩
無長,沒剩餘
無長,沒多
無開,沒開
無開花,沒開花
無閒,忙碌
無閒,忙著
無閒,沒空
無閒時節,忙碌的時候
無閒洎杈,忙碌不堪
無閒洎杈,非常忙碌
無閒直掣,忙得不可開交
無閒直掣,沒時間休息
無關係,沒關係
無關係,無妨
無降,沒生
無降,沒降
無限細數,無限小數
無需要,不需要
無面勢,沒面子
無面無皮,不知羞愧恥辱
無面無皮,不要臉
無面無皮,不講情面
無面無皮,無恥
無項,沒項
無領仔,無領
無頭無䌈,沒頭緒
無頭無腦,沒頭沒腦
無頭無腦,頭腦簡單
無頭神,健忘
無頭神,沒有頭腦
無頭路,失業
無頭路,沒工作
無額,不夠
無額,分量不足
無願意,不願意
無風毋起浪,無風不起浪
無食,沒吃
無餳,不吸引
無驚,不害怕
無驚,不懼
無鬥搭,意見不合
無鬼怨灶神,怨天尤人
無鬼請覡公,耍噱頭
無魂無影,無影無蹤
無鳥,孬種
無麼个,不太
無麼个,不怎麼
無麼个,沒什麼
無鞋,無跟鞋
無𠊎,無我
焦孟毋離,焦孟不離
焦殼樹,九重吹
焿,鹼水
焿粉,鹼粉
焿粽,鹼粽
煎卵,煎蛋
煎煎,哄哄
煎煎,熾盛
煎粄仔,煎米糕
煖水,把水加熱
煙囪出火,事後表態
煙囪笐,煙囪管
煙塵,霾
煙涵,煙囪
煙筒,煙斗
煙筒,長煙斗
煙腸,香腸
煙腸樹,阿勃勒
煙薰个佛像掛牆上,煙薰的佛像掛牆上
煙袋仔,煙袋子
煙願,煙癮
煙𠖄𠖄仔,濃煙漫布
煞,完畢
煞,果決
煞,結束
煞了撇,註銷掉
煞尾,尾聲
煞手,果決
煞撇,消失
煞撇,結束
煞棚,劇終
煞棚,散會
煞死,沖煞而死
煞煞,下定決心
煞煞,儘速地
煞煞,積極的
煞煞,趕快
煞煞仔,儘速
煞煞仔,儘速地
煞煞仔,賣力的
煞煞走,快快跑
煞煞食,趕快吃
煞猛,努力
煞猛,勤奮
煞猛,賣力
煞猛做事,努力工作
煞猛學習,努力學習
煞猛賺錢,努力賺錢
煞臺,散場
煞著,沖煞
煞著,犯煞
煠,以水燙煮
煠卵,水煮蛋
煠好,燙好
煠水餃,煮水餃
煠菜,水煮青菜
照,按照
照到,照得
照得天著,看天氣穿
照時食藥仔,按時服藥
照毋著,照不到
照照,照一照
照等,照著
照藥,烏面馬
照講,照說
照輪,按照順序
照輪,照順序
照輪,輪流
照顧貧苦鄉親个醫療,照顧貧苦鄉親的醫療
煨番薯,燜烤地瓜
煨番薯,燜烤番薯
煨蕃薯,烤蕃薯
煩勞,勞煩
煩勞,擔心
煩勞,麻煩
煩勞,麻煩勞心
煮一鑊飯,煮一鍋飯
煮兜,煮些
煮兜,煮點
煮到恁醹,煮到這麼醹
煮好去,煮好來
煮好好,煮好
煮好食,煮得好吃
煮滾,煮沸
煮熟个鴨子飛了,煮熟的鴨子飛了
煮糜,煮稀飯
煮茶,燒茶
煮菜,做菜
煮著,煮了
煮著,煮到
煮食,烹煮食物
煮食,烹飪
煮飯,做飯
煮飯,燒飯
煮飯个,煮飯的
煮飯个,燒飯的
煲,熬煮
煲,緩火慢煮
煲綿綿,熬煮軟爛
熇燥,烘乾
熇燥,烤乾
熇燥乾,烤成乾
熇蝦公,烤蝦
熝,燙
熝傷,灼傷
熝傷,燙傷
熝出,燙出
熝去,燙去
熝喉山,燙喉山
熝手,燙手
熝死,燙死
熝死忒,燙死掉
熝湯粢,把糯米漿濾乾
熝著,燙到
熟,鬧水災
熟个技術,成熟的技術
熟事,熟悉
熟事,熟識
熟事人,熟人
熟水,完全成熟
熟熟,很熟悉
熟絡,熟悉
熟絡,熟練
熟識,熟悉
熟讀王叔和，毋如臨症多,熟讀王叔和，不如臨症多
熟面,面熟
熟面熟面,很面善
熟面熟面,很面熟
熠熠燁燁,火光閃爍
熨平,整燙
熨熨仔,整燙
熬更守夜,熬夜
熬毋住,熬不住
熬毋過,熬不過
熰垃圾,焚燒垃圾
熰忒,燒掉
熰火,焚燒
熱到會死,熱的要命
熱到緊出汗,中暑一直流汗
熱天,夏天
熱天,夏季
熱天大三角,夏季大三角
熱天當熱，著短袖仔就做得吔,夏天很熱，穿短袖就可以了
熱熱燁燁,炎熱
熱燁燁,天氣炎熱
熱燁燁,炎熱
熱痱仔,小紅疹
熱痱仔,痱子
熱痱仔草,石薺寧
熱痱仔草,石薺薴
熱痱草,石薺寧
熱痱草,石薺薴
熱著,中暑
熱誠,熱忱
熱電,熱燙
熱𤐰𤐰,天氣非常炎熱
熱𤐰𤐰,非常炎熱
熱𤐰𤐰仔,熱烘烘的
熱𤐰𤐰仔,非常炎熱
熻人,激使他人
熻熻,悶熱
熻菜,燜菜
燈對,很相配
燈座,燈泡座
燈弇,燈罩
燈心,燈芯
燈心毋使試火,燈心不必試火
燈盞,油燈
燈盞,煤油燈
燈盞火,油燈
燈盞火,燈火
燈盞花,臺灣油點草
燈籠草,毛酸漿
燈籠草,苦蘵
燈籠草,落地生根
燈臺,燈塔
燈臺毋照自己,燈臺不照自己
燈臺毋自照,燈臺不自照
燈芯,燈絲
燈草,燈心
燈草,燈心草
燉下,燉下方
燉著,燉到
燉補,燉煮
燒,燃燒
燒,燙
燒去,燒掉
燒壞話,說人長短
燒忒,燒完
燒忒,燒掉
燒撇,燒掉
燒撇去,燒掉
燒暖,天候溫暖
燒暖,暖和
燒暖,溫暖
燒樵,燒柴
燒死死,燒死
燒氣發冷氣,樂極生悲
燒水,將水加熱
燒水,熱水
燒淨淨,燒光光
燒湯,熱湯
燒火,升火
燒火,生火
燒炭仔,燃製木炭
燒炭仔,燒炭
燒熝熝,很熱
燒熝熝,很燙
燒熝熝,熱呼呼
燒熝熝,燙滾滾
燒熝熝仔,很燙
燒燒,暖暖的
燒燒,熱熱
燒燒仔,熱熱的
燒盎仔,燒瓶
燒紅紅,燒紅
燒著,燒到
燒著,點火燃燒
燒話,打小報告
燒酒,熱酒
燒金,燃燒金箔紙
燒金,燒金紙
燒銀紙,燒紙錢
燒電,熱燙
燒風,焚風
燒香,上香
燕仔,燕子
燕入厥家,燕入他家
燕尾峎,燕尾脊
燕尾砂鳥,燕鴴
燕竇,燕窩
營肚項,營裡頭
營養足腦就好,營養夠頭腦就好
燥,乾涸
燥,乾燥
燥壓法,乾燥壓平法
燥尾喇,青竹絲
燥尾𤊶,赤尾青竹絲
燥忒,乾掉
燥忒,枯萎
燥捽法,乾擦法
燥死,乾死
燥毋搭个,燥不搭的
燥水,乾燥無水
燥燥,乾枯
燥絲絲,非常乾燥
燥絲絲仔,缺少水分
燥電池,乾電池
燥風,乾燥的風
燻蚊仔草,茵陳蒿
爆發力,瞬發力
爆破細組,爆破小組
爌肉,焢肉
爌肉,紅燒肉
爌肉味,紅燒肉汁
爐主,值年爐主
爛,破
爛布子,破布子
爛布樹,破布子
爛心木,黃連木
爛忒,爛掉
爛忒,破掉
爛忒去,破掉
爛撇,破掉
爛擐,破破爛爛
爛核,爛掉
爛毋濟,爛不濟
爛淨淨,破光光
爛爛,破破
爛爛,稀巴爛
爛爛兒个,爛爛兒的
爛爛擐擐,破爛不堪
爛爛擐擐,破破爛爛
爛爛擐擐,衣服破破爛爛
爛網打魚,破網打魚
爛膣爛擐,破爛不堪
爛膣爛擐,破破爛爛
爛衫,破衣
爪,抓
爪癢,抓癢
爪癢食屁卵,吃力不討好
爬,爬行
爬上跌落,不停地爬上爬下
爬上跌落,忙個不停
爬出爬入,爬進爬出
爬壁虎,地錦
爬山藤,三角葉西番蓮
爬山蹶壁,爬山攀崖
爬床扡蓆,極端痛苦
爭差,差別
爭差,異樣
爭差,相差
爭持毋下,爭持不下
爭生理,搶生意
爭田奪產,爭奪家產
爭著,爭到
爭鋒食醋,爭鋒吃醋
爭風食醋,爭風吃醋
父仇毋共戴天,父仇不共戴天
父毋償子債,父不償子債
父母在，毋遠遊,父母在，不遠遊
父母養𫣆細，𫣆養父母老,父母養我們小，我們養父母老
爺哀,父母
爺娘,父母
爽平,非常平坦
爽忒,損掉
爽快,舒適
爽本,糟蹋
爽本,耗資
爽豐,很懂得享受
牆頭,圍牆
片,邊
片刻毋停,片刻不停
片刻毋離,片刻不離
片善細才,片善小才
片甲毋回,片甲不回
片甲毋存,片甲不存
片甲毋留,片甲不留
牌仔,品牌
牌仔,商標
牌仔,執照
牌仔,牌子
牌仔,看板
牌仔,紙牌
牌匾,匾額
牙倉肉,牙齦
牙刺仔,牙籤
牙刺仔,牙繡仔
牙嘻嘻仔,露齒貌
牙射射,暴牙
牙射射,牙齒突出
牙射射仔,牙齒尖銳突出
牙尖齒利,伶牙俐齒
牙尖齒利,能言善道
牙搓仔,牙刷
牙根,擔當
牙狌狌,張嘴露牙
牙狌狌仔,牙齒顯露
牙研目皺,咬著牙根
牙研目皺,忍受痛苦
牙确仔,漱口杯
牙籤仔,牙籤
牙絲絲,牙齒微露
牙絲絲,笑嘻嘻
牙腳,牙根
牙腳浮浮,牙根浮浮的
牙西西仔,牙齒微露
牙露露仔,暴牙
牙顎矯正,齒顎矯正
牙黃,牙垢
牙黃,牙菌斑
牙齒咬合毋正,牙齒咬合不正
牙齒痛,牙痛
牙齦肉,牙齦
牙齦肉,齒齦
牙齦肉炎,牙齦炎
牛乳,牛奶
牛乳糖,牛奶糖
牛仔,牛
牛仔衫,牛仔衣
牛倒草,牛反芻
牛刮仔,牛販
牛奶仔,牛乳榕
牛嫲,母牛
牛嬤,母牛
牛家官,牛公公
牛尾背,牛尾背帶
牛尾鋸,鋸子
牛屎朏,牛屁股
牛屎色,牛糞色
牛屎艾,匙葉鼠麴草
牛屎菊,異莖闊苞菊
牛屎貼仔,鴨舌帽
牛屎鶺,鶺鳥
牛屎鶺,鶺鴒
牛形,像牛一樣
牛拖車載,車載斗量
牛搵浴,牛在水裡泡澡
牛核卵,人心果
牛核卵,石月
牛欄精,牛圈的門閂
牛欄間項,牛欄裡
牛欄間項,牛欄裡面
牛毋喝水強按頭,牛不喝水強按頭
牛牯,公牛
牛牯,牛公
牛牯仔,成長中之公牛
牛牯家,牛公牛家
牛牯竻,魯花樹
牛牸仔,小母牛
牛牸仔,成長中之母牛
牛百葉,牛肚
牛相鬥,牛互相爭鬥
牛相鬥,牛相拼合
牛眼,喬木果名
牛眼,龍眼
牛眼核,龍眼核
牛眼樹,龍眼樹
牛筋愛在背囊抽,牛筋要在牛背上抽
牛筋牛背抽,羊毛出在羊身上
牛糞,牛糞便
牛細排,牛小排
牛老車過,東西老舊
牛肚,牛的蜂巢胃
牛背囊頂,牛背上
牛背囊頂項,牛背上
牛腸馬肚,很會吃
牛膣馬面,凶惡不堪
牛膣馬面,厚臉皮不知恥
牛角毋尖毋過村,牛角不尖就不外出
牛角項,牛角上
牛販仔,牛販
牛跈馬走,自不量力
牛車崎,牛車坡
牛陣,牛群
牛面,頑皮的
牛頓草,牛筋草
牛頭,頑皮鬼
牛頭頂項,牛頭上
物品人公仔,物品偶
物極就反,物極則反
物極就衰,物極則衰
物毋平就鳴,物不平則鳴
物盛就衰,物盛則衰
物至就反,物至則反
物質毋滅律,物質不滅律
物𠊎無間,物我無間
牲儀,牲品
牲儀,牲禮
牲儀,祭品
牲儀,祭祀牲禮
牲禮,牲品
特別,特殊
特別,非常
特尾,最後
牽尾,牽尾音
牽成,升用
牽成,拔擢
牽成,提拔
牽成,提攜
牽手,手和手相牽
牽手牽腳,手牽手
牽承,拉拔
牽本,撈本
牽歇,牽完
牽牛入甕,不可能的事
牽牛花,槭葉牽牛
牽猴仔,拉皮條
牽等,挽著
牽等,牽著
牽粉仔,芶芡
牽絲,吐絲
牽絲,拔絲
牽線,拉線
牽聲,拉長聲音
牽聲,拉長語調
牽著,牽到
牽覺,打鼾
牽覺,沉睡
牽覺,熟睡打呼
牽車仔,牽回車子
牽車仔,牽車子
牽頭帶腦,領先帶頭
牽鬚,植物的莖
牽魚網,牽罟
犁壁竻,扛板歸
犁壁藤,扛板歸
犁忒,犁完
犁犁仔,低低的
犁犁仔,低垂
犁田,將土翻鬆
犁頭剷,跌跤時
犁頭草,扛板歸
犖犖仔,很稀疏
犖犖确确,破舊
犖犖确确,破舊鬆脫
犬毋夜吠,犬不夜吠
犯个上,犯的上
犯天下之毋韙,犯天下之不韙
犯毋上,犯不上
犯毋係,犯不是
犯毋著,犯不著
犯病个毋食，犯法个毋做,犯病的不吃，犯法的不做
犯而毋校,犯而不校
犯著,侵擾
犯著,冒犯
犯著,得罪
犯著,衝撞
犯著,觸犯
犯過錯,犯錯
狀元,榜首
狀元郎,榜首
狀元郎,狀元
狂漦狂漦,動作急躁
狂狂,不經思考
狂狂,瘋狂
狂狂,莽撞
狐狸分,狐狸給
狐狸核,獼猴桃
狐狸花貓,誇大其實
狐狸莫笑貓,半斤八兩
狐疑毋決,狐疑不決
狐癖,狐臭
狗仔,狗
狗仔,狗狗
狗公,公狗
狗口裡吐毋出象牙,狗口裡吐不出象牙
狗吠,狗叫
狗嘴裡吐毋出象牙,狗嘴裡吐不出象牙
狗嫲,母狗
狗嫲蛇,蜥蜴
狗屁毋通,狗屁不通
狗彘毋如,狗彘不如
狗彘毋若,狗彘不若
狗彘毋食,狗彘不食
狗打哦歌嘴,狗咬蒼蠅
狗打屁,沒有價值的話
狗挷犁,狗拉犁
狗改毋了食屎,狗改不了吃屎
狗核卵,長序木通
狗條仔,半大不小的狗
狗歕笐,狗做狼嚎
狗牯,公狗
狗牯仔,小公狗
狗竇,狗窩
狗腹个,狗腹的
狗蛄琢,蝦虎
狗蝨,跳蚤
狗貼耳,臭腥草
狗食屎,狗吃屎
狗食熱屎,狗吃熱屎
狗骨仔,七里香
狗鮕魠,極樂吻?虎
狗點米,蕺菜
狠狠个,狠狠的
狡怪,不合群
狡怪,作怪
狡怪,和人作對
狡怪,搞怪
狡怪,頑皮
狡猾,奸險多詐
狹,狹窄
狹之狹極,很狹窄
狹狹,不寬闊
狹狹,很窄
狹狹,狹窄
狹狹,窄小
狹細,狹小
狹膣狹極,極狹窄
狹蹶蹶,狹窄
狺狺滾,狗連吠聲
狼里狼攋,物品沒有收拾
狼離狼犁,凌亂不堪
狼食幞頭,狼吃幞頭
猛个,猛的
猛个勁,猛個勁
猛毋防,猛不防
猛火,火勢猛烈
猛猛,猛烈
猝毋及防,猝不及防
猩猩嫲,母猩猩
猩猩能言毋離禽獸,猩猩能言不離禽獸
猩紅揚尾仔,猩紅蜻蜓
猴仔,猴子
猴仔當精,猴子很精明
猴哥,傢伙
猴哥,猴子
猴哥仔,猴子
猴嫲,小母猴
猴嫲,母猴
猴子,小猴子
